450.0, 0.0, -1650.0, -450.0, 100.0, -2550.0
2550.0, 0.0, 1050.0, -2550.0, 100.0, 450.0
750.0, 0.0, 2250.0, -750.0, 100.0, 450.0
-750.0, 0.0, -3750.0, -150.0, 100.0, -2850.0
-3750.0, 0.0, -3750.0, -750.0 100.0, -1050.0
-150.0, 0.0, -1050.0, -750.0, 100.0, -1350.0 
-150.0, 0.0, 150.0, -2550.0, 100.0, -750.0
-150.0, 0.0, 3750.0, -2250.0, 100.0, 2550.0 
-2250.0, 0.0, 1350.0, -1050.0, 100.0, 2250.0
-3750.0, 0.0, 3750.0, -2250.0, 100.0, 1350.0
-3750.0, 0.0, 3750.0, -2850.0, 100.0, -3750.0
750.0, 0.0, -3750.0, 150.0, 100.0, -2850.0
3750.0, 0.0, -3750.0, 750.0 100.0, -1050.0
150.0, 0.0, -1050.0, 750.0, 100.0, -1350.0 
150.0, 0.0, 150.0, 2550.0, 100.0, -750.0
150.0, 0.0, 3750.0, 2250.0, 100.0, 2550.0 
2250.0, 0.0, 1350.0, 1050.0, 100.0, 2250.0
3750.0, 0.0, 3750.0, 2250.0, 100.0, 1350.0
3750.0, 0.0, 3750.0, 2850.0, 100.0, -3750.0
3750.0, -1000.0, 3750.0, -3750.0, 0.0, -3750.0
